district,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,electrical_capacity,number_of_installations,data_source,as_of_year
pilski,Renewable energy,Bioenergy,Biomass and biogas,,0.526,1,Urzad Regulacji Energetyki,2016
pilski,Renewable energy,Wind,,Onshore,0.9,1,Urzad Regulacji Energetyki,2016
piotrkowski,Renewable energy,Wind,,Onshore,51.95,27,Urzad Regulacji Energetyki,2016
piotrkowski,Renewable energy,Hydro,,Hydro,0.165,4,Urzad Regulacji Energetyki,2016
pińczowski,Renewable energy,Hydro,,Hydro,0.111,2,Urzad Regulacji Energetyki,2016
pleszewski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.856,2,Urzad Regulacji Energetyki,2016
pleszewski,Renewable energy,Wind,,Onshore,45.5,9,Urzad Regulacji Energetyki,2016
pleszewski,Renewable energy,Hydro,,Hydro,0.3,1,Urzad Regulacji Energetyki,2016
poddębicki,Renewable energy,Wind,,Onshore,12.59,17,Urzad Regulacji Energetyki,2016
poddębicki,Renewable energy,Hydro,,Hydro,4.0,1,Urzad Regulacji Energetyki,2016
poddębicki,Renewable energy,Hydro,,Hydro,0.367,6,Urzad Regulacji Energetyki,2016
policki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.36,1,Urzad Regulacji Energetyki,2016
policki,Renewable energy,Wind,,Onshore,0.6,1,Urzad Regulacji Energetyki,2016
polkowicki,Renewable energy,Bioenergy,Biomass and biogas,,0.499,1,Urzad Regulacji Energetyki,2016
polkowicki,Renewable energy,Solar,,Photovoltaics,1.124,2,Urzad Regulacji Energetyki,2016
poznański,Renewable energy,Hydro,,Hydro,0.045,1,Urzad Regulacji Energetyki,2016
poznański,Renewable energy,Wind,,Onshore,1.0,1,Urzad Regulacji Energetyki,2016
poznański,Renewable energy,Solar,,Photovoltaics,0.121,3,Urzad Regulacji Energetyki,2016
poznański,Renewable energy,Bioenergy,Sewage and landfill gas,,1.724,3,Urzad Regulacji Energetyki,2016
poznański,Renewable energy,Bioenergy,Biomass and biogas,,1.08,2,Urzad Regulacji Energetyki,2016
poznański,Renewable energy,Bioenergy,Sewage and landfill gas,,2.793,1,Urzad Regulacji Energetyki,2016
proszowicki,Renewable energy,Wind,,Onshore,1.35,4,Urzad Regulacji Energetyki,2016
proszowicki,Renewable energy,Hydro,,Hydro,0.28,5,Urzad Regulacji Energetyki,2016
prudnicki,Renewable energy,Hydro,,Hydro,0.063,2,Urzad Regulacji Energetyki,2016
pruszkowski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.64,1,Urzad Regulacji Energetyki,2016
pruszkowski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.72,1,Urzad Regulacji Energetyki,2016
przasnyski,Renewable energy,Solar,,Photovoltaics,0.04,1,Urzad Regulacji Energetyki,2016
przemyski,Renewable energy,Wind,,Onshore,18.6,4,Urzad Regulacji Energetyki,2016
przeworski,Renewable energy,Hydro,,Hydro,0.097,1,Urzad Regulacji Energetyki,2016
przeworski,Renewable energy,Wind,,Onshore,67.5,1,Urzad Regulacji Energetyki,2016
przysuski,Renewable energy,Wind,,Onshore,0.85,1,Urzad Regulacji Energetyki,2016
przysuski,Renewable energy,Solar,,Photovoltaics,0.054,2,Urzad Regulacji Energetyki,2016
pszczyński,Renewable energy,Bioenergy,Biomass and biogas,,0.04,1,Urzad Regulacji Energetyki,2016
pszczyński,Renewable energy,Bioenergy,Sewage and landfill gas,,0.1,1,Urzad Regulacji Energetyki,2016
pucki,Renewable energy,Hydro,,Hydro,0.024,2,Urzad Regulacji Energetyki,2016
pucki,Renewable energy,Bioenergy,Sewage and landfill gas,,1.4,2,Urzad Regulacji Energetyki,2016
pucki,Renewable energy,Wind,,Onshore,46.0,5,Urzad Regulacji Energetyki,2016
puławski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.37,1,Urzad Regulacji Energetyki,2016
puławski,Renewable energy,Solar,,Photovoltaics,1.0,1,Urzad Regulacji Energetyki,2016
puławski,Renewable energy,Hydro,,Hydro,0.055,1,Urzad Regulacji Energetyki,2016
pyrzycki,Renewable energy,Wind,,Onshore,111.0,2,Urzad Regulacji Energetyki,2016
